x,y
7.233423,3.2131782
9.738924,2.3666801
6.349016,1.8130866
13.761598,2.851879
7.137326,3.0494254
5.039184,2.2716787
3.5980542,2.6544335
7.1154327,3.011281
1.7433444,-0.117970705
8.857976,3.3682222
3.6496546,2.7201166
7.7623816,3.8876464
1.5594313,-0.12892352
4.0258894,3.0084808
12.772962,4.024141
9.8360405,2.3310602
8.874361,3.3457174
14.068433,2.8201618
12.557805,4.2905893
1.4307449,-0.109388925
1.9202094,-0.050892197
5.211051,2.0560956
9.357162,2.6940124
6.326359,1.7899244
3.3571897,2.2793484
6.4376354,1.9136555
3.9598055,2.983437
12.248522,4.5393014
9.022065,3.1388047
11.125328,3.6713724
3.5164657,2.5392833
6.68545,2.2667902
3.8759103,2.9355984
8.07203,4.0065374
5.099121,2.1951783
10.469398,2.647839
9.604203,2.450786
1.8995125,-0.061939046
8.290222,3.9492846
15.018803,3.9382288
2.5898087,0.7721849
1.7088171,-0.12421058
14.887449,3.7201493
11.9231825,4.568426
2.5313027,0.6683826
15.675626,4.8434267
2.6696413,0.9206976
4.3003664,2.9952047
3.7287788,2.8093154
11.869103,4.548075
15.344093,4.4541764
12.211609,4.555445
5.8234034,1.5800911
9.266287,2.8057995
10.8794565,3.255315
12.685397,4.1394043
11.648466,4.393447
14.840565,3.6436427
2.2736428,0.27597198
5.0482183,2.2601056
10.26519,2.4452019
3.067916,1.7237386
3.179738,1.9475039
9.237913,2.8424928
13.470217,3.0784373
3.7455904,2.8264
4.8174233,2.551137
7.804393,3.9174526
13.406528,3.1488137
5.6280184,1.6585326
9.850244,2.3277001
2.4534714,0.53797114
14.821832,3.6134243
5.1801333,2.0937972
12.623039,4.2161155
13.563791,2.987393
3.18648,1.9607146
7.573836,3.7052076
2.152284,0.13434225
12.50152,4.349448
15.307712,4.4009366
12.319652,4.4994593
8.185444,3.9909337
15.940269,4.990206
14.151325,2.8509834
14.052324,2.8161125
13.610049,2.948406
9.602181,2.4523358
1.3228924,-0.082034364
13.8249035,2.8267834
13.15214,3.480514
8.260529,3.9636588
4.667901,2.7210941
14.03977,2.8133981
9.496988,2.5437164
4.294206,2.9974928
4.694367,2.6927872
12.816265,3.964524
2.3457916,0.37399915
15.448002,4.5964065
14.511431,3.164821
10.269556,2.4486117
3.016197,1.6181699
15.1699915,4.187009
4.6375637,2.7524211
14.7275,3.4653502
10.22222,2.413943
10.014409,2.3242614
4.295275,2.997102
6.1817517,1.6684933
1.664275,-0.12924704
6.2424192,1.7137346
5.036269,2.2754145
12.11036,4.583182
2.4437935,0.5224213
4.4193993,2.9345832
3.499665,2.5139515
1.3220301,-0.08179063
9.570715,2.4774945
2.9989874,1.5828848
15.413763,4.5512843
6.2194967,1.6956496
13.36857,3.193629
3.898128,2.9500055
1.434081,-0.110106155
3.0563226,1.7001529
12.472049,4.378088
5.5063987,1.7469311
15.269523,4.343414
7.6236143,3.7607336
7.7345953,3.865676
1.8918515,-0.06580629
9.061815,3.0828538
14.880494,3.708732
4.5352416,2.8480797
2.7126358,1.0034779
11.617423,4.3630166
3.299917,2.1763039
12.667863,4.1614733
3.5571678,2.598399
2.4364252,0.5106857
2.698162,0.9754162
4.5740857,2.8137043
15.648237,4.8191185
12.458044,4.391145
3.3567114,2.2785065
8.712131,3.559957
6.0165253,1.5892674
12.390318,4.449004
2.9040117,1.3878398
15.299859,4.38924
3.2473502,2.0780976
14.422489,3.0624957
7.569761,3.700443
14.020694,2.810014
12.174893,4.568338
2.5266492,0.6603291
12.016362,4.586598
13.905809,2.808541
13.961998,2.8052146
