x,y
3.0208406,1.6276807
11.266629,3.9006667
11.131946,3.6824124
6.052615,1.6009719
8.936925,3.2586951
6.215031,1.6922655
2.8449063,1.2671632
2.6401289,0.86495227
13.7703705,2.8478458
12.620154,4.2195406
14.529994,3.1879425
4.502561,2.8750024
4.3175187,2.98838
1.4406033,-0.11148076
6.9618797,2.739633
14.026479,2.8109457
2.9914188,1.567351
2.1780062,0.1618452
15.231939,4.28535
7.3619146,3.4184444
7.856195,3.9484262
9.122985,2.9975216
2.4688976,0.56307167
3.54823,2.5856967
8.671883,3.6092324
3.607664,2.6670992
13.498018,3.049773
10.524885,2.7167997
13.273128,3.3144498
14.907147,3.752597
15.398968,4.5312347
13.734705,2.8653345
4.7826147,2.5926704
5.737948,1.6040652
13.958613,2.805196
10.100667,2.3488545
13.52893,3.0194771
3.202797,1.9925245
10.662584,2.9089422
12.139145,4.5778036
7.647547,3.7856174
15.574303,4.7457337
7.0216093,2.8457391
4.262113,3.0080001
1.4073702,-0.10410983
9.421956,2.6206949
12.670497,4.158182
10.642987,2.8799727
9.438804,2.6026287
3.4164176,2.3809354
15.769039,4.9139323
8.9592,3.2274141
4.96978,2.3606339
9.130394,2.9872832
9.340845,2.7133694
8.471423,3.8207293
14.909059,3.7557523
11.270751,3.9071016
3.541032,2.575352
11.309743,3.9670675
14.84961,3.6583128
2.0610232,0.04795137
9.954682,2.3179078
4.6078105,2.7818968
11.493498,4.2225947
14.312344,2.9571514
11.510206,4.2431936
3.6907175,2.7681937
8.035756,4.004857
4.3905087,2.952078
2.497073,0.6098876
9.177683,2.9226353
4.6954675,2.6915913
13.436936,3.1144238
9.363798,2.6862397
15.179019,4.2015185
5.4741263,1.7748364
8.431468,3.8547707
14.7741585,3.5376468
8.653005,3.6316702
11.219377,3.8257377
13.194316,3.421331
5.622318,1.6620433
4.029191,3.009439
7.783529,3.9031682
8.672996,3.6078966
12.332881,4.4908185
11.274443,3.9128482
1.0690293,-0.011917226
1.8013954,-0.10261668
2.5510757,0.7029434
6.2197495,1.6958425
14.178495,2.8646824
10.717119,2.9919755
8.508579,3.7864316
9.60375,2.451132
4.3034034,2.994045
8.930173,3.2681522
9.257015,2.817707
10.782065,3.0948775
1.6124558,-0.13110213
11.363625,4.0469766
8.263965,3.962098
5.0986905,2.1957242
14.910169,3.757586
2.6897576,0.95920986
12.14027,4.577553
15.335771,4.4421415
14.801648,3.5811322
14.399406,3.0383732
1.7543786,-0.1155296
9.734379,2.3688767
1.7674683,-0.11234661
15.593398,4.7657413
9.307001,2.7545547
12.320688,4.4987965
12.264778,4.531197
2.0358882,0.027246835
13.14923,3.4846377
15.545256,4.7139473
1.3758413,-0.096354455
6.27267,1.7394102
10.934418,3.34797
14.4416,3.08325
13.350503,3.2156503
14.116541,2.836024
6.1692524,1.660229
11.306575,3.9622579
11.330728,3.9986196
1.860348,-0.080463365
8.146154,3.9998815
10.971408,3.4107792
1.103433,-0.019759286
5.6574,1.6414831
14.197874,2.87552
5.8106313,1.5826108
15.784962,4.923971
5.5333295,1.7250072
15.113505,4.095116
11.214322,3.8176043
10.672932,2.924431
5.340259,1.9075179
